path	family	name	backend	exp_name	width	height	num_ants	food_count	food_sources	write_bits	critic_architecture	reward_mode	load_model	run_dir	wandb_group	wandb_run_name	description	notes
experiments/exploration_to_forage_full_layout_8ants_half_food_50x50.json	critic-full-layout-50x50	exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_long4_from_long3_best	jax	jax_mappo_full_layout_proximity_8ants_half_food_long4_from_long3_best	50	50	8	125	2	4	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_long3_from_long2_latest/checkpoints/best_full_layout_proximity_8ants_half_food_long3.pkl	.	.	.	Continue the best 8-ant half-food full-layout checkpoint from the long3 run directly on unrestricted 50x50 random hub and two-source food layouts.	Long direct continuation from the best 8-ant half-food full-layout checkpoint from the long3 run. Training uses unrestricted random hub and random food placement on the full 50x50 arena, two single-tile macro food sources, 125 total food, 8 ants, 4 per-ant write channel types, 2000-step episodes, strided_cnn critic, and eval-selected best checkpoints by delivered fraction. The stage update multiplier gives one final-stage run with 80000 PPO updates.
experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_64env.json	critic-full-layout-50x50	exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_64env_from_long4_8k	jax	jax_mappo_full_layout_proximity_8ants_half_food_64env_from_long4_8k	50	50	8	125	2	4	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_long4_from_long3_best/checkpoints/jax_mappo_full_layout_proximity_8ants_half_food_long4_from_long3_best_50x50_clusters_02_r00_sources_002_update_008000.pkl	.	.	.	Continue from the long4 8k-update checkpoint with 64 parallel environments and the same total env-step budget.	64-env continuation from the long4 8k-update checkpoint. This keeps the same total env-step budget as the original 16-env 80k-update run by using 64 envs and 20k updates. Log, eval, and checkpoint-video intervals are scaled by 4x in update units to preserve roughly the same env-step cadence.
experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes.json	critic-full-layout-50x50	exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_shared_writes_from_64env_best	jax	jax_mappo_full_layout_proximity_8ants_half_food_shared_writes_from_64env_best	50	50	8	125	2	4	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_64env_from_long4_8k/checkpoints/best_full_layout_proximity_8ants_half_food_64env_from_long4_8k.pkl	.	.	.	Continue the best 8-ant half-food full-layout checkpoint with unrestricted write actions: each ant may write any 4-bit value instead of being remapped to its per-ant bit channel.	Continuation from the best 8-ant half-food full-layout checkpoint, but with per_ant_write_channels disabled. The actor still has 4 write bits and the same checkpoint-compatible write head, but the environment no longer remaps each ant to its own bit channel; every ant can write any nonzero 4-bit value. The rest of the 64-env full-layout recipe is preserved: unrestricted random hub and random food placement on the full 50x50 arena, two single-tile macro food sources, 125 total food, 8 ants, 2000-step episodes, strided_cnn critic, and eval-selected best checkpoints by delivered fraction.
experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost.json	critic-full-layout-50x50	exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_shared_writes_write_cost_from_shared_best	jax	jax_mappo_full_layout_proximity_8ants_half_food_shared_writes_write_cost_from_shared_best	50	50	8	125	2	4	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_shared_writes_from_64env_best/checkpoints/best_full_layout_proximity_8ants_half_food_shared_writes.pkl	.	.	.	Continue the best shared-write 8-ant half-food full-layout checkpoint with a small trainer-side cost for each set write bit.	Continuation from the best shared-write 8-ant half-food full-layout checkpoint. The environment still lets every ant write any 4-bit value, but PPO now pays a strong trainer-side cost for each set write bit. Bit 0 costs 0.01 and higher bits decay geometrically by 0.5. This makes dense bit spam more expensive than the delivery budget while keeping occasional selective writes viable.
experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_8bits.json	critic-full-layout-50x50	fl50_8ants_half_food_shared_writes_write_cost_8bits_from_best	jax	jax_mappo_fl50_8ants_half_food_shared_writes_write_cost_8bits_from_best	50	50	8	125	2	8	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_shared_writes_write_cost_from_shared_best/checkpoints/best_full_layout_proximity_8ants_half_food_shared_writes_write_cost.pkl	.	.	.	Continue the best 50x50 shared-write write-cost checkpoint with 8 shared communication bits.	Continuation from the best previous 50x50 shared-write write-cost checkpoint. The environment lets every ant use the same shared 8-bit write space, and PPO pays the checkpoint's trainer-side cost for each set write bit. The actor expands from 4 to 8 write bits with neutral-new write-head transfer, preserving old write actions while initializing new write actions from the old mean.
experiments/exploration_to_forage_padded_sources_50x50.json	source-layout-50x50	exploration_to_forage_padded_sources_50x50	jax	jax_mappo_exploration_to_forage_padded_sources_50x50	50	50	4	18	2	1	.	forage	runs/notebooks/exploration_to_forage_50x50_efficient/checkpoints/jax_mappo_exploration_to_forage_20x20.pkl	.	.	.	Warm-start the 20x20 exploration-to-forage policy inside a 50x50 hidden arena, then decrease the number of food-source positions.	Effectively borderless source-count curriculum: keep the true env and padded critic canvas at 50x50 for checkpoint compatibility, but restrict randomized hub and food source placement to the interior 20x20 window via layout_margin=15. Warm-start from the completed exploration-to-forage 20x20 stage, then reduce food-source positions from 12 to 2 while keeping total food fixed at 18. This tests whether removing task-relevant borders pushes the policy away from border/stripe shortcuts without paying for a larger critic grid.
experiments/exploration_to_forage_proximity_sources_50x50.json	source-layout-50x50	exploration_to_forage_proximity_sources_positive_only_50x50_outer_30x30_inner	jax	jax_mappo_exploration_to_forage_proximity_sources_positive_only_50x50_outer_30x30_inner	50	50	4	250	2	4	strided_cnn	forage	.	.	.	.	Train from scratch in a padded 50x50 arena with an interior 30x30 task window, two macro food sources throughout, and shrinking proximity/footprint aids instead of hub-source distance aids.	Main no-distance-aid test for the padded 30x30 sparse-forage problem. The env is 50x50, randomized food stays inside the interior 30x30 window with layout_margin=10, and the colony is randomized only inside the centered 4x4 window with hub_center_window_size=4. The curriculum always has two macro food sources; early stages make each macro source discoverable by placing many food-source tiles within a local Chebyshev footprint, then shrink that footprint until the final stage is two single-tile sources. Hub-source distance is not staged, distance_bonus is 0, carrying_hub_distance_bonus is 0, and novelty/view rewards are off in the base run so the primary aid is source proximity/footprint rather than trainer-side distance shaping. The centralized critic uses the strided_cnn fallback: 50x50 grid planes pass through stride-2 5x5/3x3/3x3 convolutions, flatten to a 256-unit spatial embedding, fuse with a 128-unit entity/scalar embedding, then pass through a 256-unit fusion layer and value head. The laptop recipe uses one PPO epoch, four minibatches, and less frequent logging for fast iteration.
experiments/exploration_to_forage_scratch_smooth_sources_50x50.json	source-layout-50x50	exploration_to_forage_scratch_smooth_sources_positive_only_80x80_outer_50x50_inner	jax	jax_mappo_exploration_to_forage_scratch_smooth_sources_positive_only_80x80_outer_50x50_inner	80	80	4	250	2	4	.	forage	.	.	.	.	Train from scratch in a padded 80x80 arena with an interior 50x50 task window, smooth food-source annealing, fixed total food, moving writes, and positive-only forage rewards.	Positive-only scratch sanity run for the padded forage setup. The env is 80x80, while randomized hub and food are restricted to the interior 50x50 window with layout_margin=15. Food-source positions start dense at 250 locations in the inner window and anneal to 2, while total food remains fixed at 250 so visible food is not crushed by total-food normalization. Moving writes stay enabled, actor vision uses a 5x5 local window, and a small carrying-to-hub progress bonus improves delivery conversion. Viewed-cell reward, border penalties, moat penalties, and write-bit entropy reward remain off.
experiments/forage_curriculum.json	autocurriculum-exploration-baselines	forage_curriculum	jax	jax_mappo_forage	50	50	1	48	12	1	.	.	.	.	.	.	Progressive JAX MAPPO forage curriculum for maps from 4x4 through 50x50.	Notebook orchestration iterates the configured stage sizes with scale-aware update caps, longer rollouts, higher large-map gamma, 50x50 padding, and moving writes.
experiments/half_scale_distance_250x250_d16_trunc4096_from_685best.json	twofifty-frontier-reset	hs250_d16_trunc4096_from_685best	jax	jax_mappo_hs250_d16_trunc4096_from_685best	250	250	500	5000	1	4	set_cnn	forage	runs/training/hs250_reasonable_trunc4096_from_frontier/overnight-20260703T0245Z/checkpoints/best_training_delivery.pkl	runs/training/hs250_d16_trunc4096_from_685best/continuation-20260703T1455Z	250x250-d16-continuation	hs250-d16-trunc4096-from-685best	Follow-up 250x250 continuation from the 685-delivery best checkpoint. Starts the distance curriculum at d16 and keeps the proven 4096-step truncation so training now hardens longer returns instead of relearning the d8 gate.	The previous run improved from 220 to 685 under 4096-step truncation. The best window completed the d8 gate and advanced to d16, so this continuation starts at d16 and can advance to d32 instead of spending most updates rediscovering the easy stage.
experiments/half_scale_distance_250x250_reasonable_truncation_from_frontier.json	twofifty-frontier-reset	hs250_reasonable_trunc4096_from_frontier	jax	jax_mappo_hs250_reasonable_trunc4096_from_frontier	250	250	500	5000	1	4	set_cnn	forage	runs/training/nodecay-burnin-frontier12-rb256-from-rbfinal-250x250/burnin-frontier12-20260630T142509Z/checkpoints/best_long_eval_d8_median_4096.pkl	runs/training/hs250_reasonable_trunc4096_from_frontier/overnight-20260703T0245Z	250x250-reasonable-truncation	hs250-reasonable-trunc4096-from-frontier-overnight	Overnight 250x250 continuation from the strongest no-decay frontier checkpoint. Episodes persist across PPO windows and truncate at 4096 steps, so the horizon is long enough for return behavior but short enough to reset bad layouts overnight.	The prior 60000-step cap was effectively unreachable under per-update resets. A 4096-step cap matches the strongest previous long-eval horizon and gives overnight training actual episode boundaries without collapsing back to 256-step local windows.
experiments/half_scale_distance_250x250_soft_d8d16_trunc4096_from_685best.json	twofifty-frontier-reset	hs250_soft_d8d16_trunc4096_from_685best	jax	jax_mappo_hs250_soft_d8d16_trunc4096_from_685best	250	250	500	5000	1	4	set_cnn	forage	runs/training/hs250_reasonable_trunc4096_from_frontier/overnight-20260703T0245Z/checkpoints/best_training_delivery.pkl	runs/training/hs250_soft_d8d16_trunc4096_from_685best/continuation-20260703T1525Z	250x250-soft-685-continuation	hs250-soft-d8d16-trunc4096-from-685best	Softer backup continuation from the 685-delivery 250x250 checkpoint. Keeps the proven 4096-step truncation, restarts at d8, and gates to d16 so the strong policy can refine instead of hard-starting at d16.	The hard d16 continuation stayed near 80 deliveries by update 805. This softer backup keeps the successful 4096-step horizon but gives the 685 policy an easier d8 rehearsal stage and lower rollout temperature before gating back to d16.
experiments/half_scale_distance_autocurriculum_250x250_healthy_reset.json	twofifty-frontier-reset	hs250_distance_auto_healthy_reset_lr25e6	jax	jax_mappo_hs250_distance_auto_healthy_reset_lr25e6	250	250	500	5000	1	4	set_cnn	forage	runs/training/half_scale_distance_fixed8_source_reset_boundary_256_250x250/fixed8-reset-boundary256-20260629T214228Z/checkpoints/latest.pkl	runs/notebooks/hs250_distance_auto_healthy_reset_lr25e6	.	.	Known-healthy 250x250 half-scale distance-autocurriculum continuation after the sudden-drop investigation. The recipe avoids premature distance promotion, resets episode state every PPO update, stage-normalizes distance progress, resets Adam on load, and uses the set-CNN critic.	Use this as the notebook sanity recipe after the sudden-drop investigation. Increase default_updates only after the 10-update trend stays healthy.
experiments/maze_exploration_curriculum.json	hundred-bridge-maze-stress	maze_exploration_curriculum	jax	jax_mappo_maze_exploration	50	50	1	48	12	2	.	explore	.	.	.	.	Progressive JAX MAPPO exploration curriculum with generated wide-corridor maze obstacles from 10x10 through 50x50.	Wide-corridor maze exploration keeps writable bytes enabled, logs a W&B preview video for every saved stage, and keeps the per-stage PPO update budget fixed instead of increasing it with map size.
experiments/smoke.json	jax-mappo-training-core	smoke	torch	smoke	4	4	1	1	1	.	.	.	.	.	.	.	Tiny CPU-friendly Torch MAPPO smoke run for plumbing checks.	.
